headline,url
"President Obama Punishes Russia, at Last",https://www.nytimes.com/2016/12/29/opinion/president-obama-punishes-russia-at-last.html
How Russia Recruited Elite Hackers for Its Cyberwar,https://www.nytimes.com/2016/12/29/world/europe/how-russia-recruited-elite-hackers-for-its-cyberwar.html
How Hard Is It to Get Rid of a Cabinet Department? Pretty Hard,https://www.nytimes.com/interactive/2016/12/22/us/politics/cabinet-removal.html
An Oklahoma Newspaper Endorsed Clinton. It Hasn’t Been Forgiven.,https://www.nytimes.com/2016/12/26/us/oklahoma-newspaper-hillary-clinton-endorsement.html
"Vladimir Putin, Unsurprised by Trump’s Remarks, Says Russia Wants No Nuclear Arms Race",https://www.nytimes.com/2016/12/23/world/europe/vladimir-putin-russia-press-conference.html
"Sorry, Liberals. Bigotry Didn’t Elect Donald Trump.",https://www.nytimes.com/2016/12/26/opinion/sorry-liberals-bigotry-didnt-elect-donald-trump.html
The Stolen Supreme Court Seat,https://www.nytimes.com/2016/12/24/opinion/sunday/the-stolen-supreme-court-seat.html
Cable News Networks Have Banner Year in 2016,https://www.nytimes.com/2016/12/28/business/media/fox-news-cnn-msnbc.html
"Wielding Claims of ‘Fake News,’ Conservatives Take Aim at Mainstream Media",https://www.nytimes.com/2016/12/25/us/politics/fake-news-claims-conservatives-mainstream-media-.html
Совершенное орудие: как российская кибермощь проникла в США.,https://www.nytimes.com/2016/12/21/world/russia-hack-presidential-election.html
"Favorites From Douthat, Kristof and Rosenthal",https://www.nytimes.com/2016/12/27/opinion/favorites-from-douthat-kristof-and-rosenthal.html
"‘Abandoned’ in New Jersey, Chris Christie Returns to a Changed Landscape",https://www.nytimes.com/2016/12/27/nyregion/abandoned-in-new-jersey-chris-christie-returns-to-a-changed-landscape.html
"How the Obama Coalition Crumbled, Leaving an Opening for Trump",https://www.nytimes.com/2016/12/23/upshot/how-the-obama-coalition-crumbled-leaving-an-opening-for-trump.html
‘How Propaganda Works’ Is a Timely Reminder for a Post-Truth Age,https://www.nytimes.com/2016/12/26/books/how-propaganda-works-is-a-timely-reminder-for-a-post-truth-age.html
